Date,Time,County,EPA_ID,zipcode,NO,NO2,SO2,CO,CO2,O3,PM2.5,PM10
2021-02-05,05:00,Alameda,0007,94550,,7.0,,,,0.022,1.0,
2021-02-05,06:00,Alameda,0007,94550,,11.1,,,,0.019,2.0,
2021-02-05,07:00,Alameda,0007,94550,,21.7,,,,0.006,4.0,
2021-02-05,08:00,Alameda,0007,94550,,17.6,,,,0.013,6.0,
2021-02-05,09:00,Alameda,0007,94550,,14.1,,,,0.019,6.0,
2021-02-05,10:00,Alameda,0007,94550,,6.1,,,,0.03,3.0,
2021-02-05,11:00,Alameda,0007,94550,,3.1,,,,0.035,1.0,
2021-02-06,05:00,Alameda,0007,94550,,3.3,,,,0.028,1.0,
2021-02-06,06:00,Alameda,0007,94550,,8.8,,,,0.018,2.0,
2021-02-06,07:00,Alameda,0007,94550,,21.8,,,,0.007,9.0,
2021-02-06,08:00,Alameda,0007,94550,,21.3,,,,0.008,5.0,
2021-02-06,09:00,Alameda,0007,94550,,7.0,,,,0.028,2.0,
2021-02-06,10:00,Alameda,0007,94550,,2.2,,,,0.035,2.0,
2021-02-06,11:00,Alameda,0007,94550,,2.0,,,,0.037,0.0,
2021-02-07,05:00,Alameda,0007,94550,,18.3,,,,0.0,11.0,
2021-02-07,06:00,Alameda,0007,94550,,18.3,,,,0.0,9.0,
2021-02-07,07:00,Alameda,0007,94550,,17.6,,,,0.0,9.0,
2021-02-07,08:00,Alameda,0007,94550,,14.9,,,,0.005,7.0,
2021-02-07,09:00,Alameda,0007,94550,,10.2,,,,0.014,5.0,
2021-02-07,10:00,Alameda,0007,94550,,9.1,,,,0.021,8.0,
2021-02-07,11:00,Alameda,0007,94550,,2.8,,,,0.045,13.0,
2021-02-08,05:00,Alameda,0007,94550,,20.1,,,,0.0,11.0,
2021-02-08,06:00,Alameda,0007,94550,,22.1,,,,0.0,8.0,
2021-02-08,07:00,Alameda,0007,94550,,24.0,,,,0.0,12.0,
2021-02-08,08:00,Alameda,0007,94550,,26.8,,,,0.001,13.0,
2021-02-08,09:00,Alameda,0007,94550,,19.5,,,,0.008,10.0,
2021-02-08,10:00,Alameda,0007,94550,,10.8,,,,0.017,6.0,
2021-02-08,11:00,Alameda,0007,94550,,8.1,,,,0.025,4.0,
2021-02-09,05:00,Alameda,0007,94550,,14.7,,,,0.009,5.0,
2021-02-09,06:00,Alameda,0007,94550,,16.1,,,,0.007,6.0,
2021-02-09,07:00,Alameda,0007,94550,,19.8,,,,0.004,8.0,
2021-02-09,08:00,Alameda,0007,94550,,16.4,,,,0.009,10.0,
2021-02-09,09:00,Alameda,0007,94550,,10.6,,,,0.017,7.0,
2021-02-09,10:00,Alameda,0007,94550,,7.4,,,,0.022,9.0,
2021-02-09,11:00,Alameda,0007,94550,,6.4,,,,0.023,11.0,
2021-02-10,05:00,Alameda,0007,94550,,12.4,,,,0.011,4.0,
2021-02-10,06:00,Alameda,0007,94550,,18.1,,,,0.006,3.0,
2021-02-10,07:00,Alameda,0007,94550,,20.8,,,,0.004,1.0,
2021-02-10,08:00,Alameda,0007,94550,,16.0,,,,0.013,1.0,
2021-02-10,09:00,Alameda,0007,94550,,9.5,,,,0.022,5.0,
2021-02-10,10:00,Alameda,0007,94550,,5.7,,,,0.028,3.0,
2021-02-10,11:00,Alameda,0007,94550,,3.7,,,,0.032,,
2021-02-11,05:00,Alameda,0007,94550,,16.5,,,,0.002,5.0,
2021-02-11,06:00,Alameda,0007,94550,,19.7,,,,0.0,6.0,
2021-02-11,07:00,Alameda,0007,94550,,18.8,,,,0.001,6.0,
2021-02-11,08:00,Alameda,0007,94550,,17.2,,,,0.004,5.0,
2021-02-11,09:00,Alameda,0007,94550,,14.1,,,,0.014,5.0,
2021-02-11,10:00,Alameda,0007,94550,,12.5,,,,0.019,6.0,
2021-02-11,11:00,Alameda,0007,94550,,10.0,,,,0.023,7.0,
2021-02-12,05:00,Alameda,0007,94550,,2.5,,,,0.031,3.0,
2021-02-12,06:00,Alameda,0007,94550,,6.4,,,,0.027,3.0,
2021-02-12,07:00,Alameda,0007,94550,,5.4,,,,0.026,5.0,
2021-02-12,08:00,Alameda,0007,94550,,3.7,,,,0.029,5.0,
2021-02-12,09:00,Alameda,0007,94550,,2.3,,,,0.033,3.0,
2021-02-12,10:00,Alameda,0007,94550,,2.9,,,,0.032,3.0,
2021-02-12,11:00,Alameda,0007,94550,,2.3,,,,0.034,4.0,
2021-02-13,05:00,Alameda,0007,94550,,1.0,,,,0.033,3.0,
2021-02-13,06:00,Alameda,0007,94550,,0.2,,,,0.036,5.0,
2021-02-13,07:00,Alameda,0007,94550,,0.6,,,,0.036,5.0,
2021-02-13,08:00,Alameda,0007,94550,,1.5,,,,0.032,3.0,
2021-02-13,09:00,Alameda,0007,94550,,1.1,,,,0.036,1.0,
2021-02-13,10:00,Alameda,0007,94550,,1.0,,,,0.039,2.0,
2021-02-13,11:00,Alameda,0007,94550,,0.9,,,,0.041,2.0,
2021-02-14,05:00,Alameda,0007,94550,,15.4,,,,0.002,5.0,
2021-02-14,06:00,Alameda,0007,94550,,17.3,,,,0.001,4.0,
2021-02-14,07:00,Alameda,0007,94550,,16.8,,,,0.002,1.0,
2021-02-14,08:00,Alameda,0007,94550,,11.1,,,,0.01,3.0,
2021-02-14,09:00,Alameda,0007,94550,,4.4,,,,0.025,5.0,
2021-02-14,10:00,Alameda,0007,94550,,1.6,,,,0.032,6.0,
2021-02-14,11:00,Alameda,0007,94550,,1.6,,,,0.032,8.0,
2021-02-15,05:00,Alameda,0007,94550,,0.3,,,,0.029,-2.0,
2021-02-15,06:00,Alameda,0007,94550,,0.5,,,,0.028,-1.0,
2021-02-15,07:00,Alameda,0007,94550,,1.5,,,,0.026,2.0,
2021-02-15,08:00,Alameda,0007,94550,,1.2,,,,0.026,2.0,
2021-02-15,09:00,Alameda,0007,94550,,0.2,,,,0.029,2.0,
2021-02-15,10:00,Alameda,0007,94550,,0.2,,,,0.03,2.0,
2021-02-15,11:00,Alameda,0007,94550,,0.2,,,,0.029,2.0,
2021-02-16,05:00,Alameda,0007,94550,,13.4,,,,0.013,7.0,
2021-02-16,06:00,Alameda,0007,94550,,23.8,,,,0.001,6.0,
2021-02-16,07:00,Alameda,0007,94550,,22.8,,,,0.001,4.0,
2021-02-16,08:00,Alameda,0007,94550,,21.5,,,,0.006,3.0,
2021-02-16,09:00,Alameda,0007,94550,,7.8,,,,0.026,10.0,
2021-02-16,10:00,Alameda,0007,94550,,5.4,,,,0.028,10.0,
2021-02-16,11:00,Alameda,0007,94550,,5.0,,,,0.028,10.0,
2021-02-17,05:00,Alameda,0007,94550,,18.7,,,,0.001,5.0,
2021-02-17,06:00,Alameda,0007,94550,,19.5,,,,0.001,5.0,
2021-02-17,07:00,Alameda,0007,94550,,19.4,,,,0.001,5.0,
2021-02-17,08:00,Alameda,0007,94550,,17.0,,,,0.004,3.0,
2021-02-17,09:00,Alameda,0007,94550,,14.0,,,,0.008,5.0,
2021-02-17,11:00,Alameda,0007,94550,,1.2,,,,0.041,1.0,
2021-02-17,10:00,Alameda,0007,94550,,2.9,,,,0.036,,
2021-02-18,05:00,Alameda,0007,94550,,27.9,,,,0.0,6.0,
2021-02-18,06:00,Alameda,0007,94550,,28.3,,,,0.0,7.0,
2021-02-18,07:00,Alameda,0007,94550,,29.6,,,,0.0,8.0,
2021-02-18,08:00,Alameda,0007,94550,,25.6,,,,0.005,6.0,
2021-02-18,09:00,Alameda,0007,94550,,21.3,,,,0.01,7.0,
2021-02-18,10:00,Alameda,0007,94550,,8.3,,,,0.027,4.0,
2021-02-18,11:00,Alameda,0007,94550,,2.7,,,,0.036,2.0,
